# cilkview format version, 1
# n workers, weighted parallelism, trials, speedup, ideal parallelism
1, 1., , , 4.825108
2, 1.478936, , , 4.825108
3, 1.759895, , , 4.825108
4, 1.944607, , , 4.825108
5, 2.075296, , , 4.825108
6, 2.172639, , , 4.825108
7, 2.247954, , , 4.825108
8, 2.307959, , , 4.825108
9, 2.356891, , , 4.825108
10, 2.397556, , , 4.825108
11, 2.431886, , , 4.825108
12, 2.461255, , , 4.825108
13, 2.486665, , , 4.825108
14, 2.508867, , , 4.825108
15, 2.528431, , , 4.825108
16, 2.545802, , , 4.825108
